"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"11/28/2015","1448668800","54312682973","0.91"
"11/29/2015","1448755200","53321187419","0.87"
"11/30/2015","1448841600","55199244474","0.88"
"12/1/2015","1448928000","54837947431","0.87"
"12/2/2015","1449014400","53588845124","0.83"
"12/3/2015","1449100800","53564860105","0.82"
"12/4/2015","1449187200","53920215595","0.84"
"12/5/2015","1449273600","54430269329","0.85"
"12/6/2015","1449360000","53904812363","0.84"
"12/7/2015","1449446400","53988885934","0.80"
"12/8/2015","1449532800","53743612456","0.83"
"12/9/2015","1449619200","54733915734","0.79"
"12/10/2015","1449705600","54938250098","0.84"
"12/11/2015","1449792000","58195798149","0.91"
"12/12/2015","1449878400","59486449382","0.97"
"12/13/2015","1449964800","56701649126","0.96"
"12/14/2015","1450051200","53372600387","0.99"
"12/15/2015","1450137600","62650330558","1.01"
"12/16/2015","1450224000","54026271431","0.99"
"12/17/2015","1450310400","55081281267","0.94"
"12/18/2015","1450396800","55034649240","0.91"
"12/19/2015","1450483200","53891713881","0.90"
"12/20/2015","1450569600","53342677327","0.90"
"12/21/2015","1450656000","53466176225","0.89"
"12/22/2015","1450742400","53627121090","0.87"
"12/23/2015","1450828800","55663754533","0.85"
"12/24/2015","1450915200","52792315740","0.85"
"12/25/2015","1451001600","53550792729","0.87"
"12/26/2015","1451088000","53675955367","0.85"
"12/27/2015","1451174400","66846252680","0.85"
"12/28/2015","1451260800","53108130511","0.84"
"12/29/2015","1451347200","53729001893","0.87"
"12/30/2015","1451433600","56716784472","0.90"
"12/31/2015","1451520000","57661175081","0.93"
"1/1/2016","1451606400","54747565393","0.93"
"1/2/2016","1451692800","53323453178","0.93"
"1/3/2016","1451779200","53342341402","0.97"
"1/4/2016","1451865600","54038066808","0.95"
"1/5/2016","1451952000","57078526509","0.95"
"1/6/2016","1452038400","53724486418","0.96"
"1/7/2016","1452124800","53273537581","0.95"
"1/8/2016","1452211200","53800517545","0.99"
"1/9/2016","1452297600","53277018400","0.99"
"1/10/2016","1452384000","53104731714","0.99"
"1/11/2016","1452470400","53940328769","1.05"
"1/12/2016","1452556800","54526276152","1.23"
